时间,开盘,收盘,最低,最高,涨跌,涨幅,成交量,成交额/万元,MA5,MA10,MA20,sema,lema,diff,dea,macd
2019-05-24,10.74,10.77,10.61,10.88,-0.02,-0.19,358280,385086716.0,10.904000000000003,11.102999999999998,11.715999999999998,11.168106628821121,11.412640090599144,-0.2445334617780226,-0.20892700090669433,-0.07121292174265653
2019-05-27,10.78,11.03,10.73,11.08,0.26,2.41,352904,386184163.0,10.914000000000001,11.080999999999998,11.586999999999998,11.146203394118368,11.377269885684424,-0.23106649156605563,-0.21339611938093128,-0.0353407443702487
2019-05-28,11.03,11.22,10.91,11.22,0.19,1.72,459187,509045787.0,10.956000000000001,11.079999999999997,11.495499999999996,11.157851945905117,11.362994429958196,-0.2051424840530789,-0.21173312155726143,0.013181275008365079
2019-05-29,11.10,11.09,11.04,11.17,-0.13,-1.16,257884,286420112.0,10.98,11.048999999999996,11.401999999999997,11.147184415269411,11.33862154560388,-0.19143713033446907,-0.20764981975322944,0.032425378837520724
2019-05-30,11.05,10.93,10.81,11.05,-0.16,-1.44,248453,270431201.0,11.008000000000003,10.990999999999996,11.297999999999998,11.113153906307138,11.302686322021705,-0.18953241571456658,-0.20400914635144923,0.028953461273765302
2019-05-31,10.96,10.84,10.82,11.00,-0.09,-0.82,213000,232160393.0,11.022000000000002,10.962999999999996,11.208999999999998,11.070474917436334,11.262553090789261,-0.1920781733529271,-0.20161390277736677,0.01907145884887934
2019-06-03,10.83,10.71,10.65,10.93,-0.13,-1.20,316708,340725882.0,10.958000000000004,10.935999999999995,11.161499999999998,11.014287236312796,11.215224295627486,-0.20093705931468975,-0.2014781237178042,0.001082128806228877
2019-06-04,10.68,10.75,10.66,10.80,0.04,0.37,181752,195038435.0,10.864000000000004,10.909999999999993,11.112999999999998,10.973175706043618,11.175831817715784,-0.2026561116721659,-0.20171429232934104,-0.0018836386856497245
2019-06-05,10.83,10.89,10.74,10.99,0.14,1.30,255673,277436139.0,10.824000000000003,10.901999999999994,11.074,10.960259293728994,11.151883106222785,-0.19162381249379123,-0.19969228523169058,0.016136945475798692
2019-06-06,10.81,10.58,10.58,10.81,-0.31,-2.85,303925,324220863.0,10.754000000000003,10.880999999999995,11.035,10.90129374530173,11.1044281745642,-0.2031344292624695,-0.20038178098083986,-0.005505296563259265
2019-06-10,10.60,10.70,10.50,10.76,0.12,1.13,205189,218778089.0,10.726000000000003,10.873999999999995,10.988499999999998,10.87011784252923,11.071164918327128,-0.20104707579789682,-0.20051500486743462,-0.0010641418609244058
2019-06-11,10.74,11.04,10.67,11.05,0.34,3.18,372855,407338224.0,10.792000000000003,10.874999999999995,10.977999999999998,10.896401680562953,11.068622458776755,-0.1722207782138021,-0.19485054973205787,0.04525954303651153
2019-06-12,11.07,11.03,10.98,11.13,-0.01,-0.09,267830,295988748.0,10.848000000000003,10.855999999999995,10.968,10.917053746835627,11.065495083379671,-0.14844133654404423,-0.1855613474301591,0.07424002177222971
2019-06-13,11.00,11.10,10.87,11.24,0.07,0.63,329745,364248959.0,10.89,10.856999999999994,10.953,10.945313347650812,11.068269905911478,-0.12295655826066643,-0.1730324484631127,0.10015178040489253
2019-06-14,11.09,10.89,10.84,11.09,-0.21,-1.89,237296,259582427.0,10.952000000000002,10.852999999999994,10.922,10.936774449132495,11.054024141471444,-0.11724969233894988,-0.1618702373248204,0.08924108997174102
2019-06-17,10.90,10.86,10.83,10.96,-0.03,-0.28,131646,143418929.0,10.984,10.854999999999993,10.909,10.924928774913225,11.038609414858634,-0.11368063994540911,-0.15222840665775977,0.07709553342470132
2019-06-18,10.84,10.83,10.75,10.89,-0.03,-0.28,178802,193259557.0,10.942,10.866999999999994,10.901500000000002,10.910288561159486,11.022124505117452,-0.11183594395796526,-0.1441472916460453,0.06462269537616011
2019-06-19,11.07,10.94,10.94,11.17,0.11,1.02,342625,378447537.0,10.924000000000001,10.885999999999992,10.898000000000001,10.914869025782366,11.015666750921593,-0.10079772513922691,-0.13547512692199898,0.06935480356554413
2019-06-20,10.99,11.24,10.95,11.33,0.30,2.74,440727,491889879.0,10.952,10.920999999999992,10.911500000000002,10.96497687178268,11.033226838154018,-0.06824996637133829,-0.12202730180786306,0.10755467087304954
2019-06-21,11.25,11.25,11.21,11.35,0.01,0.09,415664,468298445.0,11.023999999999997,10.987999999999992,10.934500000000003,11.008891616899819,11.050124131436304,-0.041232514536485354,-0.10586565904008441,0.1292662890071981
2019-06-24,11.68,11.62,11.55,11.98,0.37,3.29,958342,1121227316.0,11.175999999999998,11.079999999999993,10.977000000000002,11.10302624795682,11.094374022522452,0.008652225434367722,-0.08295903733290777,0.18322252553455098
2019-06-25,11.62,11.31,11.15,11.62,-0.31,-2.67,474268,536948057.0,11.272,11.106999999999994,10.991000000000003,11.13490216121075,11.111057382551069,0.023844778659681154,-0.061596002426864235,0.17088156217309078
2019-06-26,11.28,11.33,11.19,11.36,0.02,0.18,218788,247091182.0,11.35,11.136999999999993,10.996500000000003,11.164944165946071,11.127941677833615,0.03700248811245643,-0.04187462660988962,0.1577542294446921
2019-06-27,11.34,11.29,11.22,11.48,-0.04,-0.35,296321,336308564.0,11.359999999999998,11.155999999999995,11.006500000000003,11.18419814147533,11.140401282397693,0.043796859077636086,-0.024739163293181342,0.13707204474163487
2019-06-28,11.30,11.48,11.30,11.54,0.19,1.68,409778,468269777.0,11.405999999999997,11.214999999999995,11.034000000000002,11.229735370476,11.166437660649942,0.06329770982605787,-0.007130829980479552,0.14085707961307484
2019-07-01,11.68,11.73,11.54,11.74,0.25,2.18,520374,607189627.0,11.427999999999999,11.301999999999996,11.078500000000002,11.306741014169742,11.209533108116224,0.09720790605351759,0.0137378261844913,0.16694015973805257
2019-07-02,11.74,11.66,11.60,11.77,-0.07,-0.60,329717,385189250.0,11.498,11.384999999999994,11.126000000000001,11.361113556723446,11.243897854403214,0.11721570232023204,0.03443412257231491,0.16556315949583428
2019-07-03,11.60,11.51,11.42,11.63,-0.15,-1.29,265414,305369717.0,11.534,11.441999999999997,11.164,11.384028080601388,11.264153153577029,0.11987492702435887,0.051522759824405136,0.13670433439990748
2019-07-04,11.51,11.40,11.35,11.58,-0.11,-0.96,203072,232725537.0,11.556000000000001,11.457999999999997,11.1895,11.386486108354674,11.27447251600156,0.11201359235311337,0.06362119613429223,0.09678479243764226
2019-07-05,11.43,11.45,11.37,11.48,0.05,0.44,124344,142097357.0,11.55,11.477999999999998,11.233,11.3962601995889,11.287781005466552,0.10847919412234752,0.07259295579344421,0.07177247665780662
2019-07-08,11.40,11.11,11.08,11.45,-0.34,-2.97,285751,319604656.0,11.425999999999998,11.426999999999996,11.253499999999999,11.352209783640076,11.274325146657587,0.07788463698248904,0.0736513071365483,0.008466659691881484
2019-07-09,11.10,11.09,10.98,11.18,-0.02,-0.18,174036,192546545.0,11.312000000000001,11.404999999999998,11.256,11.311861767996115,11.260396453525786,0.051465314470329204,0.06921405793887506,-0.035497486937091705
2019-07-10,11.07,10.98,10.93,11.10,-0.11,-0.99,167002,183946025.0,11.206000000000001,11.369999999999997,11.253499999999999,11.260797491873111,11.239239608958613,0.02155788291449845,0.05968273587123219,-0.07624970591346748
2019-07-11,10.95,10.45,10.30,10.97,-0.53,-4.83,1048257,1112350002.0,11.016000000000002,11.285999999999998,11.221,11.136041597512671,11.17977087898316,-0.0437292814704886,0.039000181264950924,-0.16545892547087904
2019-07-12,10.45,10.61,10.41,10.69,0.16,1.53,443343,469430385.0,10.847999999999999,11.198999999999998,11.206999999999999,11.055102339072793,11.13689366821099,-0.08179132913819664,0.014841737953903597,-0.1932661341842005
2019-07-15,10.67,10.73,10.42,10.78,0.12,1.13,338239,360314205.0,10.772,11.098999999999998,11.2005,11.00508147937839,11.10630959498421,-0.10122811560582079,-0.00837234132576888,-0.18571154856010383
2019-07-16,10.71,10.74,10.67,10.84,0.01,0.09,190856,205303365.0,10.701999999999998,11.006999999999998,11.196,10.96429618420161,11.07880601304167,-0.11450982884005967,-0.029599918250421416,-0.16981982117927652
2019-07-17,10.74,10.68,10.66,10.77,-0.06,-0.56,156460,167620371.0,10.642,10.923999999999996,11.183,10.9205551071183,11.048892683167942,-0.1283375760496419,-0.04934750891787223,-0.15798013426353935
2019-07-18,10.71,10.55,10.52,10.71,-0.13,-1.22,183054,193502783.0,10.661999999999997,10.838999999999995,11.1485,10.863543097043467,11.011507016767341,-0.14796391972387468,-0.06907083830706387,-0.15778616283362162
2019-07-19,10.55,10.54,10.52,10.66,-0.01,-0.09,197176,208573457.0,10.647999999999998,10.747999999999994,11.113,10.813764626490586,10.976204032181041,-0.16243940569045456,-0.08774458755553884,-0.14938963626983146
2019-07-22,10.56,10.37,10.32,10.58,-0.17,-1.61,209402,218202909.0,10.575999999999997,10.673999999999996,11.0505,10.745490117054924,10.93085214113245,-0.18536202407752533,-0.1072681047796392,-0.15618783859577226
2019-07-23,10.40,10.48,10.40,10.49,0.11,1.06,140454,146791172.0,10.523999999999997,10.612999999999996,11.008999999999999,10.704643950596726,10.897147480385387,-0.19250352978866125,-0.12431521068113464,-0.13637663821505322
2019-07-24,10.52,10.63,10.52,10.71,0.15,1.43,202231,215188324.0,10.513999999999998,10.577999999999994,10.973999999999998,10.693159901174482,10.877189797366306,-0.18402989619182364,-0.13625815949688255,-0.09554347338988217
2019-07-25,10.63,10.68,10.56,10.68,0.05,0.47,141936,151103886.0,10.539999999999997,10.600999999999996,10.943499999999998,10.691135246586276,10.862467728050227,-0.17133248146395097,-0.1432730293944277,-0.05611890413904652
2019-07-26,10.68,10.73,10.62,10.76,0.05,0.47,133044,142436053.0,10.578,10.612999999999996,10.905999999999999,10.697114575378713,10.852583554059965,-0.15546897868125242,-0.14571222078289792,-0.019513515796709013
2019-07-29,10.69,10.61,10.60,10.75,-0.12,-1.12,142846,152046438.0,10.626,10.600999999999996,10.849999999999998,10.68371207514772,10.834492807843208,-0.15078073269548753,-0.14672592367446513,-0.008109618042044797
2019-07-30,10.62,10.70,10.62,10.74,0.09,0.85,149263,159774026.0,10.669999999999998,10.596999999999996,10.801999999999998,10.686217950536179,10.824467988536837,-0.13825003800065794,-0.14503074585869227,0.01356141571606867
2019-07-31,10.70,10.73,10.68,10.90,0.03,0.28,270926,291625044.0,10.69,10.601999999999995,10.762999999999998,10.69295374324216,10.81742980244769,-0.12447605920552895,-0.14091980720685487,0.03288749600265184
2019-08-01,10.67,10.61,10.54,10.69,-0.12,-1.12,184324,195611878.0,10.676,10.607999999999995,10.723499999999998,10.680191480138529,10.801982209460185,-0.12179072932165624,-0.1370939906461591,0.030606522649005707
2019-08-02,10.31,10.47,10.29,10.49,-0.14,-1.32,234133,243576688.0,10.624,10.600999999999996,10.674499999999998,10.647854010407244,10.777268841109422,-0.12941483070217785,-0.13555815834146048,0.012286655278565262
2019-08-05,10.42,10.26,10.26,10.47,-0.21,-2.01,275619,285306875.0,10.554,10.589999999999996,10.631999999999996,10.588183664672338,10.738776550314503,-0.15059288564216544,-0.13856510429639582,-0.024055562691539245
2019-08-06,10.15,10.05,9.94,10.15,-0.21,-2.05,392348,393409794.0,10.424000000000001,10.546999999999995,10.579999999999997,10.505385593113456,10.687539044314754,-0.1821534512012981,-0.14728277482497362,-0.06974135275264898
2019-08-07,10.10,10.05,10.03,10.17,0.00,0.00,150641,151952984.0,10.288,10.488999999999995,10.533499999999998,10.435325852475502,10.640127991471799,-0.20480213899629618,-0.15878664887073746,-0.09203098025111744
2019-08-08,10.11,10.06,10.05,10.15,0.01,0.10,163605,165047897.0,10.178,10.426999999999996,10.514,10.377583121689748,10.59699893176312,-0.21941581007337163,-0.17091248213286372,-0.09700665588101581
2019-08-09,10.13,10.01,9.96,10.14,-0.05,-0.50,179930,180546381.0,10.086,10.354999999999995,10.483999999999998,10.32103163026625,10.553370836763694,-0.23233920649744455,-0.18319782783381053,-0.09828275732726804
2019-08-12,10.01,10.21,10.01,10.24,0.20,2.00,209560,212877046.0,10.076,10.314999999999996,10.457999999999998,10.303949779159444,10.527856526746621,-0.22390674758717743,-0.19133961222348803,-0.06513427072737882
2019-08-13,10.15,10.10,10.08,10.17,-0.11,-1.08,116719,118067649.0,10.086000000000002,10.254999999999995,10.425999999999998,10.272572793949777,10.496071825960776,-0.22349903201099863,-0.1977714964584354,-0.05145507110512648
2019-08-14,10.26,10.19,10.17,10.31,0.09,0.89,171993,176013299.0,10.114,10.200999999999995,10.401499999999997,10.259869254263455,10.473339162264109,-0.21346990800065413,-0.20091117887522564,-0.025117458250856983
2019-08-15,10.01,10.23,9.96,10.25,0.04,0.39,152660,154671984.0,10.148000000000001,10.162999999999995,10.385499999999997,10.255273974299104,10.455269381061804,-0.19999540676269945,-0.20072802444766405,0.0014652353699292076
2019-08-16,10.55,10.62,10.48,10.82,0.39,3.81,653376,695571984.0,10.270000000000001,10.177999999999995,10.389499999999996,10.311385774684936,10.4674996362917,-0.1561138616067641,-0.19180519168241805,0.0713826601513079
2019-08-19,10.69,10.76,10.64,10.79,0.14,1.32,390102,418279451.0,10.38,10.227999999999996,10.408999999999995,10.380403456179813,10.489212335784005,-0.10880887960419194,-0.17520592897348924,0.1327940987385946
2019-08-20,10.80,10.70,10.66,10.80,-0.06,-0.56,273337,292923844.0,10.500000000000002,10.292999999999996,10.419999999999996,10.42957222055495,10.504856929891192,-0.0752847093362412,-0.1552216847635668,0.15987395085465117
2019-08-21,10.71,10.66,10.63,10.77,-0.04,-0.37,236767,253658267.0,10.594000000000003,10.353999999999996,10.421499999999996,10.465022688015454,10.51636992331275,-0.05134723529729612,-0.1344467946353939,0.16619911867619558
2019-08-22,10.68,10.70,10.63,10.82,0.04,0.38,267115,286053269.0,10.688000000000002,10.417999999999996,10.422499999999996,10.501173078093439,10.529995068831807,-0.02882199073836844,-0.11332183366488702,0.16899968585303715
2019-08-23,10.69,10.72,10.62,10.73,0.02,0.19,204825,218880595.0,10.708000000000002,10.488999999999995,10.421999999999995,10.53483878548441,10.54409146212135,-0.009252676636940294,-0.09250800210866786,0.16651065094345513
