时间,开盘,收盘,最低,最高,涨跌,涨幅,成交量,成交额/万元,MA5,MA10,MA20,sema,lema,diff,dea,macd
2019-03-07,13.06,12.74,12.55,13.06,-0.34,-2.60,1782057,2274151007.0,,,,12.74,12.74,0.0,0.0,0.0
2019-03-08,12.49,12.30,12.25,12.70,-0.44,-3.45,1778162,2214572417.0,,,,12.501666666666665,12.51153846153846,-0.009871794871795458,-0.00548433048433081,-0.008774928774929297
2019-03-11,12.30,12.32,12.05,12.49,0.02,0.16,1157651,1416000380.0,,,,12.430762124711316,12.442720551996056,-0.01195842728473906,-0.008137648845153863,-0.0076415568791703935
2019-03-12,12.49,12.36,12.24,12.64,0.04,0.32,1411795,1757797251.0,,,,12.408425287356323,12.419595500511305,-0.011170213154981568,-0.009164940278022326,-0.004010545753918484
2019-03-13,12.34,12.37,12.13,12.55,0.01,0.08,1269427,1568387544.0,12.418,,,12.397985274112688,12.408094099381186,-0.010108825268497768,-0.009445724723070946,-0.0013262010908536431
2019-03-14,12.33,12.43,12.27,12.62,0.06,0.49,1057468,1316372926.0,12.355999999999998,,,12.405766536791774,12.412481676559938,-0.006715139768164846,-0.008705584382704778,0.003980889229079864
2019-03-15,12.34,12.50,12.34,12.68,0.07,0.56,1045406,1311323009.0,12.396,,,12.42679440440896,12.42804635670079,-0.0012519522918292836,-0.006819268945314234,0.0111346333069699
2019-03-18,12.53,12.91,12.32,12.94,0.41,3.28,1486455,1882483634.0,12.514,,,12.527631964509677,12.505701030640667,0.021930933869009905,8.994543865161222e-05,0.043681976860716586
2019-03-19,12.92,12.79,12.61,12.94,-0.12,-0.93,957196,1221118294.0,12.6,,,12.579537700388354,12.547840379097092,0.03169732129126146,0.007391406065604676,0.048611830451313565
2019-03-20,12.68,12.75,12.62,12.88,-0.04,-0.31,929996,1185477059.0,12.676,12.547,,12.611840239915542,12.5757364392252,0.036103800690343135,0.013824649213766664,0.04455830295315294
2019-03-21,12.77,12.69,12.58,12.80,-0.06,-0.47,860141,1092506483.0,12.728000000000002,12.542,,12.626141591446073,12.590556459256439,0.03558513218963455,0.018585718550877862,0.033998827277513376
2019-03-22,12.69,12.59,12.50,12.74,-0.10,-0.79,713502,898629417.0,12.746,12.571,,12.61971573513473,12.590488089468984,0.029227645665745428,0.02087115818996087,0.016712974951569114
2019-03-25,12.40,12.11,12.10,12.40,-0.48,-3.81,1179883,1445560160.0,12.586000000000002,12.55,,12.531209719678074,12.53419899645504,-0.002989276776965255,0.015821461166895326,-0.03762147588772116
2019-03-26,12.23,12.10,12.01,12.29,-0.01,-0.08,935393,1136721267.0,12.448,12.524,,12.457788472170558,12.485433281852258,-0.02764480968169991,0.006728284874500054,-0.06874618911239994
2019-03-27,12.24,12.38,12.18,12.47,0.28,2.31,922827,1138302657.0,12.374,12.525,,12.444757571389818,12.474027983389377,-0.029270411999558377,-0.000734010683874313,-0.05707280263136813
2019-03-28,12.31,12.22,12.10,12.31,-0.16,-1.29,732467,892530627.0,12.280000000000001,12.504,,12.40761461060424,12.447454569536776,-0.03983995893253578,-0.008781723305892261,-0.06211647125328704
2019-03-29,12.26,12.82,12.21,12.82,0.60,4.91,1669506,2108295394.0,12.325999999999999,12.535999999999998,,12.47499561381362,12.485271184119298,-0.010275570305678272,-0.009087375378654446,-0.0023763898540476516
2019-04-01,12.83,13.18,12.83,13.55,0.36,2.81,1951401,2588268669.0,12.540000000000001,12.562999999999999,,12.589099233828396,12.553909166285926,0.03519006754246945,-6.943400478564989e-05,0.0705190030945102
2019-04-02,13.28,13.36,13.23,13.48,0.18,1.37,1100384,1466040987.0,12.792,12.620000000000001,,12.712877590030608,12.631627986703126,0.08124960332748188,0.016432186881425125,0.1296348328921135
2019-04-03,13.21,13.44,13.15,13.45,0.08,0.60,792916,1056166232.0,13.004000000000001,12.689000000000002,12.618,12.828847763352899,12.707863611800445,0.12098415155245412,0.037586472119284065,0.16679535886634012
2019-04-04,13.43,13.86,13.43,14.00,0.42,3.13,2034365,2796366353.0,13.332000000000003,12.806000000000001,12.674000000000001,12.99238494941225,12.814363952829837,0.1780209965824131,0.06593484459791965,0.2241723039689869
2019-04-08,13.90,13.96,13.72,14.43,0.10,0.72,1743176,2464536241.0,13.560000000000002,12.943000000000001,12.757,13.145119806141114,12.918353833655246,0.22676597248586816,0.09834017934216938,0.25685158628739757
2019-04-09,13.87,13.81,13.75,13.98,-0.15,-1.07,781332,1080549202.0,13.686000000000002,13.113,12.8315,13.249650777839141,12.997959812797816,0.25169096504132504,0.12919245617957195,0.24499701772350618
2019-04-10,13.75,13.73,13.40,13.88,-0.08,-0.58,947135,1289475602.0,13.760000000000002,13.276,12.9,13.324916438542687,13.062337298716654,0.2625791398260322,0.1559963708169573,0.2131655380181498
2019-04-11,13.73,13.54,13.49,13.96,-0.19,-1.38,655357,897382236.0,13.780000000000001,13.392,12.9585,13.358522214311488,13.103769575248958,0.25475263906253076,0.1758225255609899,0.15786022700308172
2019-04-12,13.49,13.42,13.21,13.59,-0.12,-0.89,774325,1035139674.0,13.692000000000002,13.511999999999997,13.008000000000001,13.368104834492149,13.130856212255337,0.23724862223681242,0.18814498725140127,0.0982072699708223
